#flow depth classes in [cm]
TYP,dateofvisit,basement,insured value[CHF],>0-25cm,>25-50cm,>50-75cm,>75-100cm,>100-125cm,>125-150cm,>150cm,notes,>0-25cm,>25-50cm,>50-75cm,>75-100cm,>100-125cm,>125-150cm,>150cm
EA,08.11.2018,no,660000,10000,200000,200000,200000,235000,235000,235000,totallosswithflowdepth>3m,0.015,0.303,0.303,0.303,0.356,0.356,0.356
EA,08.11.2018,no,350000,-,-,150000,150000,200000,200000,200000,totallosswithflowdepth>3m,0.000,0.000,0.429,0.429,0.571,0.571,0.571
EN,15.11.2018,yes,1080000,60000,300000,300000,300000,300000,300000,300000,estimationvalidforthewholebuilding,0.056,0.278,0.278,0.278,0.278,0.278,0.278
EN,15.11.2018,no,500000,120000,180000,180000,180000,180000,180000,180000,na,0.240,0.360,0.360,0.360,0.360,0.360,0.360
MA,08.11.2018,no,610000,200000,200000,300000,310000,330000,330000,330000,na,0.328,0.328,0.492,0.508,0.541,0.541,0.541
MA,15.01.2019,yes,815000,120000,120000,120000,120000,200000,200000,200000,na,0.147,0.147,0.147,0.147,0.245,0.245,0.245
MN,15.11.2018,yes,1800000,300000,800000,800000,1000000,1000000,1000000,1000000,oilpollutionifflowdepth>25cm,0.167,0.444,0.444,0.556,0.556,0.556,0.556
MN,08.11.2018,yes,7000000,-,-,150000,1200000,1200000,1200000,1200000,estimateforthreebuildingswithcommonundergroundgarage,0.000,0.000,0.021,0.171,0.171,0.171,0.171
GG,15.11.2018,yes,6200000,140000,140000,140000,140000,140000,140000,140000,locatedataslightslope,0.023,0.023,0.023,0.023,0.023,0.023,0.023
GG,15.01.2019,no,850000,50000,50000,50000,50000,100000,100000,100000,na,0.059,0.059,0.059,0.059,0.118,0.118,0.118
GK,08.11.2018,no,850000,135000,135000,135000,185000,185000,185000,185000,na,0.159,0.159,0.159,0.218,0.218,0.218,0.218
GK,08.11.2018,no,880000,15000,55000,105000,150000,150000,150000,150000,damgetoelectricinstallationof200000CHFifflowdepth>2m,0.017,0.063,0.119,0.170,0.170,0.170,0.170

